Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
D1,1N4148,D_SOD-123,143.583127,-186.071781,90.0,bottom
D10,1N4148,D_SOD-123,136.683127,-113.021781,90.0,bottom
D11,1N4148,D_SOD-123,106.483127,-186.021781,90.0,bottom
D12,1N4148,D_SOD-123,114.383127,-167.821781,90.0,bottom
D13,1N4148,D_SOD-123,125.483127,-149.521781,90.0,bottom
D14,1N4148,D_SOD-123,120.183127,-131.321781,90.0,bottom
D15,1N4148,D_SOD-123,118.383126,-113.121781,90.0,bottom
D16,1N4148,D_SOD-123,220.09632,-186.07132,270.0,bottom
D17,1N4148,D_SOD-123,211.99632,-167.82132,270.0,bottom
D18,1N4148,D_SOD-123,201.69632,-149.62132,270.0,bottom
D19,1N4148,D_SOD-123,206.99632,-131.32132,270.0,bottom
D2,1N4148,D_SOD-123,151.683127,-167.821781,90.0,bottom
D20,1N4148,D_SOD-123,208.74632,-112.92132,270.0,bottom
D21,1N4148,D_SOD-123,238.59632,-186.02132,270.0,bottom
D22,1N4148,D_SOD-123,230.696321,-167.72132,270.0,bottom
D23,1N4148,D_SOD-123,219.89632,-149.52132,270.0,bottom
D24,1N4148,D_SOD-123,225.19632,-131.32132,270.0,bottom
D25,1N4148,D_SOD-123,226.99632,-113.02132,270.0,bottom
D26,1N4148,D_SOD-123,257.19632,-186.02132,270.0,bottom
D27,1N4148,D_SOD-123,249.29632,-167.82132,270.0,bottom
D28,1N4148,D_SOD-123,238.19632,-149.52132,270.0,bottom
D29,1N4148,D_SOD-123,243.49632,-131.32132,270.0,bottom
D3,1N4148,D_SOD-123,161.983127,-149.621781,90.0,bottom
D30,1N4148,D_SOD-123,245.296321,-113.12132,270.0,bottom
D31,1N4148,D_SOD-123,143.583127,-204.571781,90.0,bottom
D32,1N4148,D_SOD-123,125.083127,-204.521781,90.0,bottom
D33,1N4148,D_SOD-123,106.483127,-204.521781,90.0,bottom
D34,1N4148,D_SOD-123,220.09632,-204.57132,270.0,bottom
D35,1N4148,D_SOD-123,238.59632,-204.52132,270.0,bottom
D36,1N4148,D_SOD-123,257.19632,-204.52132,270.0,bottom
D37,1N4148,D_SOD-123,275.69632,-204.52132,270.0,bottom
D38,1N4148,D_SOD-123,275.69632,-186.02132,270.0,bottom
D39,1N4148,D_SOD-123,267.79632,-167.82132,270.0,bottom
D4,1N4148,D_SOD-123,156.683127,-131.321781,90.0,bottom
D40,1N4148,D_SOD-123,256.69632,-149.52132,270.0,bottom
D41,1N4148,D_SOD-123,261.99632,-131.32132,270.0,bottom
D42,1N4148,D_SOD-123,263.796321,-113.12132,270.0,bottom
D43,1N4148,D_SOD-123,87.983127,-204.521781,90.0,bottom
D44,1N4148,D_SOD-123,87.983127,-186.021781,90.0,bottom
D45,1N4148,D_SOD-123,95.883127,-167.821781,90.0,bottom
D46,1N4148,D_SOD-123,106.983127,-149.521781,90.0,bottom
D47,1N4148,D_SOD-123,101.683127,-131.321781,90.0,bottom
D48,1N4148,D_SOD-123,99.883126,-113.121781,90.0,bottom
D5,1N4148,D_SOD-123,154.933127,-112.921781,90.0,bottom
D6,1N4148,D_SOD-123,125.083127,-186.021781,90.0,bottom
D7,1N4148,D_SOD-123,132.983126,-167.721781,90.0,bottom
D8,1N4148,D_SOD-123,143.783127,-149.521781,90.0,bottom
D9,1N4148,D_SOD-123,138.483127,-131.321781,90.0,bottom
J1,Conn_01x14_Pin,Hirose_FH12-14S-0.5SH_1x14-1MP_P0.50mm_Horizontal,198.38,-189.19,180.0,bottom
J3,Conn_01x14_Pin,Hirose_FH12-14S-0.5SH_1x14-1MP_P0.50mm_Horizontal,165.59,-189.34,180.0,bottom
